ItemCode,ItemName,PrimaryUnit,ExtraUnit,ExtraBarcode,ExtraPrice
"3201000645","LACNOR ORANGE CARROT NECTAR 200ML ORAN&CAR 180ML","PCS","OUT","2004001497648","10.338500000000002"
"3201000645","LACNOR ORANGE CARROT NECTAR 200ML ORAN&CAR 180ML","PCS","OUT","6291016124277","10.338500000000002"
"3201000645","LACNOR ORANGE CARROT NECTAR 200ML ORAN&CAR 180ML","PCS","CTN","2004001497645","40.824999999999996"
"3201000645","LACNOR ORANGE CARROT NECTAR 200ML ORAN&CAR 180ML","PCS","CTN","6291016124475","40.824999999999996"
"3201000647","AL RABIE PINEAPPLE & COCONUT JUICE 330ML","PCS","CTN","06281026170531","84.812385"
"3201000647","AL RABIE PINEAPPLE & COCONUT JUICE 330ML","PCS","CTN","6281026170531","84.812385"
"3201000649","AL RABIE PINEAPPLE JUICE 1LT","PCS","OUT","200400150099411","28.37625"
"3201000649","AL RABIE PINEAPPLE JUICE 1LT","PCS","CTN","6281026305483","85.12875000000001"
"3201000650","AL RABIE ORANGE. JUICE 1LT.","PCS","CTN","6281026305087","129.95"
"3201000713","MASAFI PINEAPPLE JUICE 2LT","PCS","CTN","6291001010455","62.762285"
"3201000714","MASAFI BERRY BLEND JUICE 2LT","PCS","CTN","6291001010462","50.8875"
"3201000715","MASAFI BERRY BLEND JUICE 1LT","PCS","CTN","6291001010448","41.05500000000001"
"3201000716","MASAFI PINEAPPLE JUICE 1LT.","PCS","CTN","6291001010431","65.55"
"3201000733","MASAFI CITRUS JUICE 2LT","PCS","CTN","6291001010578","50.5885"
"3201000734","MASAFI CITRUS JUICE 1LT","PCS","CTN","6291001010554","41.05500000000001"
"3201000735","MASAFI CITRUS JUICE 200ML","PCS","CTN","6291001010530","55.142500000000005"
"3201000752","RANI MANGO FLOAT 150ML CAN","PCS","OUT","6281034906306","20.698964999999998"
"3201000752","RANI MANGO FLOAT 150ML CAN","PCS","OUT","6281034910556","20.698964999999998"
"3201000752","RANI MANGO FLOAT 150ML CAN","PCS","CTN","6281034903589","41.399195"
"3201000753","RANI MANGO FLOAT 240 ML","PCS","OUT","6281034904197","18.975"
"3201000753","RANI MANGO FLOAT 240 ML","PCS","OUT","6281034910518","18.975"
"3201000753","RANI MANGO FLOAT 240 ML","PCS","CTN","2012011035412","73.3125"
"3201000753","RANI MANGO FLOAT 240 ML","PCS","CTN","6281034903596","73.3125"
"3201000754","MASAFI MELLOW MELON JUICE 2LT","PCS","CTN","6291001010707","48.3"
"3201000755","MASAFI MELLOW MELON JUICE 1LT","PCS","CTN","6291001010691","41.05500000000001"
"3201000760","POKKA JAPANESE GREEN TEA 500ML","PCS","CTN","2008000412494","80.78750000000001"
"3201000762","POKKA CAPPUCINO COFFEE 240ML","PCS","CTN","2008000412517","205.27499999999998"
"3201000763","POKKA MILK COFFEE 240ML","PCS","CTN","2008000412524","161.86249999999998"
"3201000776","ICE COOL COCONUT DRINK 500ML","PCS","CTN","2008000415594","205.85"
"3201000776","ICE COOL COCONUT DRINK 500ML","PCS","CTN","88889195001867","205.85"
"3201000788","POKKA VITAENE C SUGAR FREE 240ML","PCS","CTN","14902471046507","200.387385"
"3201000790","SUNTOP MANGO 125ML","PCS","OUT","6281012044426","8.337499999999999"
"3201000790","SUNTOP MANGO 125ML","PCS","CTN","0107030599112","24.138499999999997"
"3201000790","SUNTOP MANGO 125ML","PCS","CTN","2008000423483","24.138499999999997"
"3201000790","SUNTOP MANGO 125ML","PCS","CTN","6281012044518","24.138499999999997"
"3201000790","SUNTOP MANGO 125ML","PCS","CTN","6281012045355","24.138499999999997"
"3201000791","SUN TOP ORANGE JUICE 125ML","PCS","OUT","00002932486310","8.337499999999999"
"3201000791","SUN TOP ORANGE JUICE 125ML","PCS","OUT","6281012044402","8.337499999999999"
"3201000791","SUN TOP ORANGE JUICE 125ML","PCS","CTN","0107030599013","24.138499999999997"
"3201000791","SUN TOP ORANGE JUICE 125ML","PCS","CTN","2008000423490","24.138499999999997"
"3201000791","SUN TOP ORANGE JUICE 125ML","PCS","CTN","6281012044457","24.138499999999997"
"3201000791","SUN TOP ORANGE JUICE 125ML","PCS","CTN","6281012045324","24.138499999999997"
"3201000812","RANI RED GRAPE 240ML","PCS","CTN","6281034903626","41.05500000000001"
"3201000827","CAPRISON APPLE JUICE 200ML","PCS","OUT","6291100850457","11.211694999999999"
"3201000827","CAPRISON APPLE JUICE 200ML","PCS","CTN","6291100850556","44.6775"
"3201000840","RANI GUAVA JUICE 240ML","PCS","CTN","2009000447592","42.8375"
"3201000840","RANI GUAVA JUICE 240ML","PCS","CTN","6281034903985","42.8375"
"3201000842","RANI 3DIAMOND 240ML","PCS","CTN","2009000447615","33.924769999999995"
"3201000842","RANI 3DIAMOND 240ML","PCS","CTN","6281034901592","33.924769999999995"
"3201000843","RANI GUAVA 200ML NRB","PCS","CTN","2009000447622","83.375"
"3201000843","RANI GUAVA 200ML NRB","PCS","CTN","6281034901882","83.375"
